,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
0,CONFIRMED,0,0,0,0,9.48803557,2.9575,615.8,0.146,2.26,793.0,93.59,5455.0,4.467,0.927,35.8
1,CONFIRMED,0,0,0,0,54.4183827,4.507,874.8,0.586,2.83,443.0,9.11,5455.0,4.467,0.927,25.8
2,CANDIDATE,0,0,0,0,19.89913995,1.7822,10829.0,0.969,14.6,638.0,39.3,5853.0,4.544,0.868,76.3
3,FALSE POSITIVE,0,1,0,0,1.736952453,2.40641,8079.2,1.276,33.46,1395.0,891.96,5805.0,4.564,0.791,505.6
4,CONFIRMED,0,0,0,0,2.525591777,1.6545,603.3,0.701,2.75,1406.0,926.16,6031.0,4.438,1.046,40.9
5,CONFIRMED,0,0,0,0,11.09432054,4.5945,1517.5,0.538,3.9,835.0,114.81,6046.0,4.486,0.972,66.5
6,CONFIRMED,0,0,0,0,4.13443512,3.1402,686.0,0.762,2.77,1160.0,427.65,6046.0,4.486,0.972,40.2
7,CONFIRMED,0,0,0,0,2.56658897,2.429,226.5,0.755,1.59,1360.0,807.74,6046.0,4.486,0.972,15.0
8,FALSE POSITIVE,0,1,1,0,7.36178958,5.022,233.7,1.169,39.21,1342.0,767.22,6227.0,3.986,1.958,47.7
9,CONFIRMED,0,0,0,0,16.06864674,3.5347,4914.3,0.052,5.76,600.0,30.75,5031.0,4.485,0.848,161.9
10,CONFIRMED,0,0,0,0,2.470613377,1.74319,14231.0,0.818,13.04,1339.0,761.46,5820.0,4.457,0.964,4304.3
11,CONFIRMED,0,1,0,0,2.204735417,3.88864,6674.7,0.224,16.1,2048.0,4148.92,6440.0,4.019,1.952,5945.9
12,CONFIRMED,0,0,0,0,3.522498429,3.19843,9145.7,0.631,14.59,1521.0,1264.67,6225.0,4.169,1.451,1741.5
13,CONFIRMED,0,0,0,0,3.709214104,2.6302,131.1,0.051,1.16,1206.0,500.46,5833.0,4.407,1.022,50.6
14,FALSE POSITIVE,0,1,0,0,11.521446064,3.6399,17984.0,2.483,150.51,753.0,75.88,5795.0,4.554,0.848,622.1
15,FALSE POSITIVE,0,1,0,0,19.40393776,12.2155,8918.7,0.804,7.18,523.0,17.69,5043.0,4.591,0.68,214.7
16,FALSE POSITIVE,0,1,0,0,19.221388942,4.79843,74284.0,1.065,49.29,698.0,55.97,6117.0,4.496,0.947,2317.0
17,FALSE POSITIVE,0,1,0,0,16.46983774,9.4378,10479.0,0.292,7.94,595.0,29.61,5152.0,4.517,0.786,303.4
18,CONFIRMED,0,0,0,0,9.27358173,3.2875,1288.3,0.387,2.47,649.0,41.85,4856.0,4.583,0.696,87.2
19,CONFIRMED,0,0,0,0,6.02930329,1.5821,1912.7,0.258,2.85,678.0,50.04,4537.0,4.648,0.672,65.4
20,FALSE POSITIVE,0,1,1,1,2.696370652,3.6129,397.9,0.044,1.58,1066.0,305.34,4989.0,4.504,0.819,48.2
21,CONFIRMED,0,0,0,0,5.349553819,3.0278,831.0,0.092,2.55,919.0,168.99,5185.0,4.44,0.91,60.6
22,CONFIRMED,0,0,0,0,3.94105221,2.5984,363.3,0.226,1.7,1018.0,253.15,5185.0,4.44,0.91,28.9
23,CONFIRMED,0,0,0,0,8.10904807,3.596,217.4,0.025,1.3,800.0,97.03,5185.0,4.44,0.91,14.1
24,FALSE POSITIVE,0,1,0,0,386.6030528,6.8057,24927.0,0.9765,41.5,297.0,1.84,5543.0,4.081,1.58,994.0
25,CONFIRMED,0,0,0,0,21.67699193,3.4555,857.2,0.896,2.95,530.0,18.64,4954.0,4.5,0.828,34.3
26,CONFIRMED,0,0,0,0,4.99677968,2.1717,934.7,0.71,2.78,917.0,166.95,5339.0,4.552,0.847,28.2
27,CONFIRMED,0,0,0,0,4.280963604,2.875,750.8,0.424,2.3,1012.0,247.87,5644.0,4.564,0.831,61.8
28,FALSE POSITIVE,0,0,1,0,1.50635409,1.5155,2211.7,0.86,4.53,1452.0,1054.12,5714.0,4.563,0.831,181.1
29,FALSE POSITIVE,0,1,1,0,670.645531,53.412,18091.0,0.701,14.14,196.0,0.35,5520.0,4.466,0.983,642.7
30,FALSE POSITIVE,0,1,0,0,61.2563628,7.633,5123.3,1.248,39.87,505.0,15.43,6144.0,4.402,1.091,85.3
31,CONFIRMED,0,0,0,0,38.3775486,5.588,724.2,0.468,2.82,529.0,18.53,5481.0,4.369,1.036,34.7
32,CONFIRMED,0,0,0,0,41.19725502,4.6297,2213.9,0.045,3.86,439.0,8.76,5031.0,4.485,0.848,51.2
33,CONFIRMED,0,0,0,0,6.252962249,2.5819,1036.9,0.105,2.65,823.0,108.3,5031.0,4.485,0.848,47.1
34,CONFIRMED,0,0,0,0,16.01308419,3.2554,1121.9,0.799,3.1,593.0,29.31,5015.0,4.499,0.826,33.2
35,CONFIRMED,0,0,0,0,32.62876672,4.7971,1804.8,0.021,3.36,506.0,15.55,5586.0,4.56,0.798,80.0
36,CONFIRMED,0,0,0,0,91.7732862,6.473,652.0,0.606,2.12,359.0,3.92,5586.0,4.56,0.798,19.1
37,CONFIRMED,0,0,0,0,4.959319244,2.22739,9802.0,0.831,12.21,1103.0,349.4,5712.0,4.359,1.082,696.5
38,FALSE POSITIVE,0,1,1,0,2.701287801,3.3827,860.4,1.016,6.54,1222.0,527.81,5550.0,4.468,0.91,48.3
39,CONFIRMED,0,0,0,0,4.49876511,3.7362,460.0,0.312,2.1,1133.0,389.62,6075.0,4.486,0.969,29.5
